PRODUCT,High sulphur fuel oil (tonne),Low sulphur fuel oil (tonne),Light fuel oil (1000 litres),Automotive diesel (litre),Premium unleaded 98 RON (litre),Premium unleaded 95 RON (litre),Regular unleaded gasoline (litre),Premium leaded gasoline (litre),Regular leaded gasoline (litre),Liquefied petroleum gas (litre),Natural gas (MWh),Steam coal (tonne),Coking coal (tonne),Electricity (MWh)
TIME
3Q2010,x,x,78111.00,114.18,x,..,134.33,x,x,80.60,..,x,x,21130.00
4Q2010,x,x,77272.00,112.89,x,..,132.37,x,x,82.20,..,x,x,20470.00
1Q2011,x,x,86808.00,121.42,x,..,141.05,x,x,..,..,x,x,19850.00
2Q2011,x,x,94377.00,130.73,x,..,150.29,x,x,..,..,x,x,20300.00
3Q2011,x,x,92154.00,128.28,x,..,148.57,x,x,..,..,x,x,21834.00
4Q2011,x,x,88692.31,123.68,x,..,143.20,x,x,..,..,x,x,21671.00
1Q2012,x,x,91898.72,127.27,x,..,146.58,x,x,..,..,x,x,21977.67
2Q2012,x,x,94632.00,130.80,x,..,150.50,x,x,..,..,x,x,22758.75
3Q2012,x,x,88611.00,124.00,x,..,143.30,x,x,..,..,x,x,24223.50
4Q2012,x,x,91663.00,126.90,x,..,147.20,x,x,..,..,x,x,23809.80
1Q2013,x,x,99900.00,132.90,x,..,153.40,x,x,..,..,x,x,23082.15
2Q2013,x,x,94148.00,132.90,x,..,152.90,x,x,95.40,..,x,x,24241.35
3Q2013,x,x,99921.00,136.80,x,..,158.50,x,x,95.90,..,x,x,25823.70
4Q2013,x,x,101752.00,138.20,x,..,159.10,x,x,97.40,..,x,x,26652.15
1Q2014,x,x,104023.00,139.00,x,..,158.40,x,x,105.90,..,x,x,25446.75
2Q2014,x,x,106666.00,143.90,x,..,165.60,x,x,103.10,..,x,x,26595.00
3Q2014,x,x,107633.00,146.56,x,..,168.63,x,x,101.80,..,x,x,28427.76
4Q2014,x,x,102466.00,138.23,x,..,159.06,x,x,99.60,..,x,x,27042.12
1Q2015,x,x,84786.00,119.00,x,..,138.70,x,x,89.00,..,x,x,27255.96
2Q2015,x,x,84766.00,120.90,x,..,141.90,x,x,88.90,..,x,x,27489.24
3Q2015,x,x,83000.00,117.80,x,..,139.10,x,x,84.40,..,x,x,26893.08
4Q2015,x,x,75889.00,110.40,x,..,130.80,x,x,86.70,..,x,x,27319.68
1Q2016,x,x,62598.30,99.20,x,..,114.40,x,x,79.40,..,x,x,23140.08
2Q2016,x,x,62636.80,100.90,x,..,119.40,x,x,79.60,..,x,x,25068.96
3Q2016,x,x,63957.30,102.50,x,..,122.60,x,x,75.80,..,x,x,24960.96
4Q2016,x,x,67504.30,105.20,x,..,126.10,x,x,79.10,..,x,x,24010.56
1Q2017,x,x,77944.40,110.80,x,..,131.70,x,x,92.10,..,x,x,24010.56
2Q2017,x,x,77222.20,111.40,x,..,132.60,x,x,86.80,..,x,x,25413.96
3Q2017,x,x,76111.10,110.20,x,..,131.20,x,x,85.70,..,x,x,26604.12
4Q2017,x,x,80944.40,116.40,x,..,138.30,x,x,91.90,..,x,x,25632.12
1Q2018,x,x,87513.90,122.20,x,..,144.00,x,x,89.00,..,x,x,25363.20
2Q2018,x,x,89940.00,126.30,x,..,147.70,x,x,87.70,..,x,x,25702.18
