,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
Production,2017,774,0,0,440,0,2562,8575,7205,2241,5512,13373,0,0,..,40683,22450,774,440,7753
Production,2018,539,0,0,400,0,2253,16918,6962,2299,6233,14162,0,0,..,49766,23353,539,400,8532
Production,2019,433,0,0,426,0,2092,16618,6878,2576,6805,14108,0,0,..,49938,24466,433,426,9381
Production,2020,418,0,0,418,0,1942,10097,6776,2701,7740,13273,0,0,..,43366,24762,418,418,10441
Production,2021,369,0,0,385,0,2001,18449,6805,2625,8645,14137,0,0,0,53415,26317,369,385,11269
Imports,1960,6090,0,0,27133,2880,0,0,0,0,0,0,0,0,0,36103,0,6090,30013,0
Imports,1961,8606,0,0,32828,4879,0,0,0,0,0,0,0,0,0,46312,0,8606,37706,0
Imports,1962,7560,0,0,38874,5402,0,0,0,0,0,0,0,0,0,51836,0,7560,44276,0
Imports,1963,8330,0,0,51676,7158,0,0,0,0,0,0,0,0,0,67164,0,8330,58834,0
Imports,1964,9800,0,0,62907,9313,0,0,0,0,0,0,0,0,0,82020,0,9800,72219,0
Imports,1965,12320,0,0,73822,12611,0,0,0,0,0,0,0,0,0,98753,0,12320,86433,0
Imports,1966,14560,0,0,86090,10755,0,0,0,0,0,0,0,0,0,111406,0,14560,96846,0
Imports,1967,19040,0,0,105350,13487,0,0,0,0,0,0,0,0,0,137877,0,19040,118837,0
Imports,1968,23940,0,0,122549,16062,0,0,0,0,0,0,0,0,0,162552,0,23940,138611,0
Imports,1969,30310,0,0,145514,18565,260,0,0,0,0,0,0,0,0,194650,0,30310,164079,0
Imports,1970,35630,0,0,170757,33769,966,0,0,0,0,0,0,0,0,241123,0,35630,204527,0
Imports,1971,32225,0,0,191845,29922,1169,0,0,0,0,0,0,0,0,255161,0,32225,221767,0
Imports,1972,35552,0,0,206851,29688,1262,0,0,0,0,0,0,0,0,273352,0,35552,236539,0
Imports,1973,41296,0,0,248799,27370,2785,0,0,0,0,0,0,0,0,320250,0,41296,276168,0
Imports,1974,46189,0,0,243377,29817,4499,0,0,0,0,0,0,0,0,323882,0,46189,273194,0
Imports,1975,44420,0,0,228040,20686,5854,0,0,0,0,0,0,0,0,299001,0,44420,248726,0
Imports,1976,43287,0,0,233006,28888,6933,0,0,0,0,0,0,0,0,312115,0,43287,261895,0
Imports,1977,41327,0,0,241009,29694,8836,0,0,0,0,0,0,0,0,320866,0,41327,270703,0
Imports,1978,36872,0,0,234283,29719,13440,0,0,0,0,0,0,0,0,314314,0,36872,264002,0
Imports,1979,41330,0,0,243100,34285,16669,0,0,0,0,0,0,0,0,335384,0,41330,277385,0
Imports,1980,48992,0,0,222519,29662,19540,0,0,0,0,0,0,0,0,320713,0,48992,252181,0
Imports,1981,56350,0,0,199287,28432,20149,0,0,0,0,0,0,0,0,304217,0,56350,227718,0
Imports,1982,55887,0,0,185883,31486,20924,0,0,0,0,0,0,0,0,294179,0,55887,217369,0
Imports,1983,53224,0,0,179926,36191,22442,0,0,0,0,0,0,0,0,291784,0,53224,216118,0
Imports,1984,61614,0,0,185846,38998,30807,0,0,0,0,0,0,0,0,317266,0,61614,224845,0
Imports,1985,65517,0,0,171768,40963,32984,0,0,0,0,0,0,0,0,311232,0,65517,212731,0
Imports,1986,63300,0,0,168516,49318,33828,0,0,0,0,0,0,0,0,314962,0,63300,217834,0
Imports,1987,63265,0,0,160634,59580,34127,0,0,0,0,0,0,0,0,317605,0,63265,220214,0
Imports,1988,70440,0,0,168000,65084,35990,0,0,0,0,0,0,0,0,339514,0,70440,233084,0
Imports,1989,70262,0,0,181704,69367,38841,0,0,0,0,0,0,0,0,360174,0,70262,251071,0
Imports,1990,73502,0,0,205521,60016,42293,0,0,0,0,25,0,0,0,381357,25,73502,265537,0
Imports,1991,76505,0,0,205374,54155,44492,0,0,0,0,30,0,0,0,380555,30,76505,259528,0
Imports,1992,74059,0,0,220261,51773,45687,0,0,0,0,39,0,0,0,391819,39,74059,272034,0
Imports,1993,74641,0,0,221105,47056,46974,0,0,0,0,48,0,0,0,389824,48,74641,268161,0
Imports,1994,79851,0,0,236265,50029,49667,0,0,0,0,55,0,0,0,415867,55,79851,286294,0
Imports,1995,83081,0,0,229273,55000,51207,0,0,0,0,57,0,0,0,418618,57,83081,284273,0
Imports,1996,84630,0,0,227666,57629,54437,0,0,0,0,63,0,0,0,424425,63,84630,285295,0
Imports,1997,88607,0,0,230610,49649,56663,0,0,0,0,77,0,0,0,425606,77,88607,280260,0
Imports,1998,83591,0,0,219004,48314,57986,0,0,0,0,79,0,0,0,408975,79,83591,267318,0
Imports,1999,88561,0,0,214065,53714,61068,0,0,0,0,104,0,0,0,417513,104,88561,267779,0
